Timestamp	Title	Author	Year Published	Number of Pages
1/25/2019 14:55:01	To Kill a Mockingbird	Harper Lee	1960	281
1/25/2019 15:30:43	Harry Potter and the Sorcerer's Stone	J.K. Rowling	1999	309
1/25/2019 15:31:29	Harry Potter and the Chamber of Secrets	J.K. Rowling	2000	341
1/25/2019 15:32:11	Harry Potter and the Prisoner of Azkaban	J.K. Rowling	2001	448
1/25/2019 15:32:50	Harry Potter and the Goblet of Fire	J.K. Rowling	2002	752
1/25/2019 15:33:32	Harry Potter and the Order of the Phoenix	J.K. Rowling	2004	896
1/25/2019 15:34:24	Harry Potter and Half-Blood Prince	J.K. Rowling	2006	652
1/25/2019 15:35:07	Harry Potter and the Deathly Hallows	J.K. Rowling	2009	784
1/27/2019 15:48:51	Slob	Ellen Potter 	2010	199
1/27/2019 15:51:47	The Son of Neptune 	Rick Riordan 	2011	517
1/27/2019 15:53:18	perfect 	sara shepard 	2007	297
	Naruto Volumes 1-3	Masashi Kishimoto	1999	600
	Single Variable Calculus with Vector Functions: Early Transcendentals, Seventh Edition, AP Edition	James Stewart	2012	916
	Persepolis	Marjane Satrapi	2004	341
	The Ordinary Princess	M.M. Kaye	1980	128
	How To Take Over the World	Unknown	2020	333
	My Antonia 	Willa Cather	1918	175
	Possession 	A.S. Byatt	1990	555
	Percy Jackson and the Olympians: the Lightning Thief	Rick Riordan	2005	377
	Animal Farm	George Orwell	1945	112
	Invisible Man	Ralph Ellison	1952	581
	The Joy Luck Club	Amy Tan	1989	288
	DaVinci's TIger 	L. M. Elliot 	2015	320
	The Great Gatsby	F. Scott Fitzgerald	1925	192
	A Thousand Splendid Suns 	Khaled Hosseini	2007	379
	Life of Pi	Yann Martel	2001	419
	Fahrenheit 451	Ray Bradbury	1953	256
	A Clockwork Orange	Anthony Burgess	1962	192
	The Secret Life of Bees	Sue Monk Kidd	2001	340
	A Wrinkle in Time	Madeleine L'Engle	1962	228
	Charlotte's Web	E. B. White	1952	192
	Originals: How Non-Conformists Move the World	Adam Grant	2016	245
	Hunger Games	Suzanne Collins	2008	374
	Catching Fire	Suzanne Collins	2010	400
	Mocking Jay	Suzanne Collins	2014	400
	Stone Cold	David Baldacci	2007	